Filename,Row,Columm,StartTime,EndTime,Completed
letter_OpenML,20000,16,1689268563.9682024,0,-22
letter_OpenML,20000,16,1689268563.9682024,1689268575.9673977,1
nursery_OpenML,0,0,0,0,-1
pendigits_OpenML,10992,16,1689268588.7845585,0,-22
pendigits_OpenML,10992,16,1689268588.7845585,1689268591.9630265,1
BNG(tic-tac-toe)_OpenML,0,0,0,0,-1
electricity_OpenML,0,0,0,0,-1
adult_OpenML,0,0,0,0,-1
kropt_OpenML,0,0,0,0,-1
pol_OpenML,15000,48,1689268615.1478155,0,-22
pol_OpenML,15000,48,1689268615.1478155,1689268622.2240317,1
2dplanes_OpenML,40768,10,1689268626.7339869,0,-22
2dplanes_OpenML,40768,10,1689268626.7339869,1689268686.0451727,1
elevators_OpenML,16599,18,1689268692.0664952,0,-22
elevators_OpenML,16599,18,1689268692.0664952,1689268698.8878675,1
house_8L_OpenML,0,0,0,0,-1
BNG(breast-w)_OpenML,0,0,0,0,-1
meta_stream_intervals.arff_OpenML,45164,74,1689268722.275274,0,-22
meta_stream_intervals.arff_OpenML,45164,74,1689268722.275274,1689268943.659838,1
Ailerons_OpenML,13750,40,1689268973.9779387,0,-22
Ailerons_OpenML,13750,40,1689268973.9779387,1689268979.2502315,1
mammography_OpenML,0,0,0,0,-1
mv_OpenML,40768,10,1689268988.6444933,0,-22
mv_OpenML,40768,10,1689268988.6444933,1689269084.651405,1
webdata_wXa_OpenML,0,0,0,0,-1
internet_usage_OpenML,0,0,0,0,-1
ohscal.wc_OpenML,0,0,0,0,-1
houses_OpenML,0,0,0,0,-1
fried_OpenML,40768,10,1689269110.4268594,0,-22
fried_OpenML,40768,10,1689269110.4268594,1689269216.0648153,1
house_16H_OpenML,22784,16,1689269229.1639698,0,-22
house_16H_OpenML,22784,16,1689269229.1639698,1689269240.5496101,1
pol_OpenML,15000,48,1689269244.7126455,0,-22
pol_OpenML,15000,48,1689269244.7126455,1689269251.7460403,1
2dplanes_OpenML,40768,10,1689269255.8339412,0,-22
2dplanes_OpenML,40768,10,1689269255.8339412,1689269308.938856,1
ailerons_OpenML,13750,40,1689269315.3795223,0,-22
ailerons_OpenML,13750,40,1689269315.3795223,1689269320.5873241,1
house_16H_OpenML,22784,16,1689269325.724678,0,-22
house_16H_OpenML,22784,16,1689269325.724678,1689269337.155606,1
houses_OpenML,0,0,0,0,-1
house_8L_OpenML,0,0,0,0,-1
elevators_OpenML,16599,18,1689269351.5703819,0,-22
elevators_OpenML,16599,18,1689269351.5703819,1689269358.2975094,1
mv_OpenML,40768,10,1689269363.1624725,0,-22
mv_OpenML,40768,10,1689269363.1624725,1689269416.8566494,1
fried_OpenML,40768,10,1689269433.7326078,0,-22
fried_OpenML,40768,10,1689269433.7326078,1689269485.8410625,1
nursery_OpenML,0,0,0,0,-1
letter_OpenML,20000,16,1689269494.9258752,0,-22
letter_OpenML,20000,16,1689269494.9258752,1689269505.2005737,1
kdd_internet_usage_OpenML,0,0,0,0,-1
pendigits_OpenML,10992,16,1689269514.1415365,0,-22
pendigits_OpenML,10992,16,1689269514.1415365,1689269517.1971285,1
sylva_prior_OpenML,14395,108,1689269521.5287323,0,-22
sylva_prior_OpenML,14395,108,1689269521.5287323,1689269529.5431063,1
eye_movements_OpenML,10936,27,1689269533.8825622,0,-22
eye_movements_OpenML,10936,27,1689269533.8825622,1689269535.500397,1
mozilla4_OpenML,0,0,0,0,-1
jm1_OpenML,0,0,0,0,-1
adult-census_OpenML,0,0,0,0,-1
MagicTelescope_OpenML,19020,10,1689269553.5717318,0,-22
MagicTelescope_OpenML,19020,10,1689269553.5717318,1689269562.4246633,1
BNG(lowbwt)_OpenML,0,0,0,0,-1
BNG(echoMonths)_OpenML,0,0,0,0,-1
Click_prediction_small_OpenML,0,0,0,0,-1
letter-challenge-unlabeled.arff_OpenML,20000,16,1689269587.509828,0,-22
letter-challenge-unlabeled.arff_OpenML,20000,16,1689269587.509828,1689269597.6180704,1
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,1689269601.2775354,0,-22
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,1689269601.2775354,1689269603.8090703,1
a3a_OpenML,0,0,0,0,-1
a4a_OpenML,0,0,0,0,-1
a5a_OpenML,0,0,0,0,-1
a6a_OpenML,0,0,0,0,-1
a7a_OpenML,0,0,0,0,-1
a8a_OpenML,0,0,0,0,-1
a9a_OpenML,0,0,0,0,-1
artificial-characters_OpenML,0,0,0,0,-1
bank-marketing_OpenML,45211,16,1689269646.956268,0,-22
bank-marketing_OpenML,45211,16,1689269646.956268,1689269884.4530544,1
eeg-eye-state_OpenML,14980,14,1689269893.4748173,0,-22
eeg-eye-state_OpenML,14980,14,1689269893.4748173,1689269898.2331345,1
gas-drift_OpenML,13910,128,1689269911.438959,0,-22
gas-drift_OpenML,13910,128,1689269911.438959,1689269918.0261724,1
gas-drift-different-concentrations_OpenML,13910,129,1689269930.3485978,0,-22
gas-drift-different-concentrations_OpenML,13910,129,1689269930.3485978,1689269937.1065323,1
har_OpenML,10299,561,1689269980.7196043,0,-22
har_OpenML,10299,561,1689269980.7196043,1689269993.7902267,1
kr-vs-k_OpenML,0,0,0,0,-1
nomao_OpenML,34465,118,1689270017.1331484,0,-22
nomao_OpenML,34465,118,1689270017.1331484,1689270085.2710927,1
volcanoes-b1_OpenML,0,0,0,0,-1
volcanoes-b2_OpenML,0,0,0,0,-1
volcanoes-b3_OpenML,0,0,0,0,-1
volcanoes-b4_OpenML,0,0,0,0,-1
volcanoes-b6_OpenML,0,0,0,0,-1
volcanoes-c1_OpenML,0,0,0,0,-1
nursery_OpenML,0,0,0,0,-1
w1a_OpenML,0,0,0,0,-1
w2a_OpenML,0,0,0,0,-1
w3a_OpenML,0,0,0,0,-1
w4a_OpenML,0,0,0,0,-1
w5a_OpenML,0,0,0,0,-1
w6a_OpenML,0,0,0,0,-1
w7a_OpenML,0,0,0,0,-1
adult_OpenML,0,0,0,0,-1
news20_OpenML,0,0,0,0,-1
kdd_internet_usage_OpenML,0,0,0,0,-1
Amazon_employee_access_OpenML,0,0,0,0,-1
CreditCardSubset_OpenML,14240,30,1689270184.3534796,0,-22
CreditCardSubset_OpenML,14240,30,1689270184.3534796,1689270189.5243838,1
PhishingWebsites_OpenML,11055,30,1689270193.1006913,0,-22
PhishingWebsites_OpenML,11055,30,1689270193.1006913,1689270195.656894,1
OnlineNewsPopularity_OpenML,39644,60,1689270206.5109186,0,-22
OnlineNewsPopularity_OpenML,39644,60,1689270206.5109186,1689270257.8696828,1
BuzzinsocialmediaTomsHardware_OpenML,0,0,0,0,-1
sulfur_OpenML,0,0,0,0,-1
CIFAR_10_small_OpenML,20000,3072,1689270275.3675666,0,-22
CIFAR_10_small_OpenML,20000,3072,1689270275.3675666,1689270532.5108588,1
